dishName,typeOfDish,ingredients,preparationSteps,timeToPrepare,uploadedBy,rating,hasVideo
Caesar Salad,Breakfast,Tomato؛ cream؛ herbs,Stir fry on high heat,30,Ahmed,1.5,no
Turkey Sandwich,Breakfast,Turkey؛ bread؛ lettuce,Boil and stir,15,Abdullah,2.1,yes
Fried Rice,Dinner,Turkey؛ bread؛ lettuce,Bake for 30 minutes,26,Nawaf,4.4,yes
Fish Tacos,Breakfast,Oats؛ milk؛ honey,Blend؛ fry؛ and serve,14,Reem,2.6,no
Tomato Soup,Breakfast,Beef؛ potatoes؛ carrots,Mix and chill,44,Reem,4.8,yes
Caesar Salad,Lunch,Vegetables؛ soy sauce,Boil and stir,32,Mashael,0.6,no
Quinoa Bowl,Lunch,Beef؛ potatoes؛ carrots,Mix and chill,45,Nora,4.9,no
Fish Tacos,Lunch,Avocado؛ bread؛ olive oil,Mix and chill,44,Sara,3.5,yes
Fish Tacos,Lunch,Fish؛ tortilla؛ cabbage,Mix and cook all ingredients,33,Nora,1.8,yes
Smoothie,Lunch,Oats؛ milk؛ honey,Simmer over low heat,16,Leila,3.1,yes
Smoothie,Dinner,Pasta؛ meat؛ tomato sauce,Bake for 30 minutes,29,Reem,3.1,yes
Caesar Salad,Lunch,Peppers؛ rice؛ beef,Boil and stir,23,Raed,4.7,yes
Grilled Chicken,Breakfast,Mushroom؛ rice؛ parmesan,Simmer over low heat,12,Reem,1.6,no
Smoothie,Dinner,Chicken؛ spices؛ oil,Boil and stir,34,Abdullah,3.1,yes
Scrambled Eggs,Lunch,Fish؛ tortilla؛ cabbage,Mix and chill,23,Mashael,2.6,yes
Fried Rice,Breakfast,Vegetables؛ soy sauce,Grill and garnish,15,Haifa,0.9,yes
Veggie Stir Fry,Lunch,Vegetables؛ soy sauce,Grill and garnish,32,Mashael,2.2,no
Scrambled Eggs,Dinner,Lettuce؛ croutons؛ cheese,Roast in oven,37,Abdullah,4.9,yes
Chicken Curry,Dinner,Peppers؛ rice؛ beef,Boil and stir,32,Raed,4.5,yes
Baked Salmon,Breakfast,Rice؛ vegetables؛ soy sauce,Assemble and toast,44,Sara,0.7,yes
Scrambled Eggs,Lunch,Beef؛ potatoes؛ carrots,Stir fry on high heat,12,Abdullah,2.9,yes
Turkey Sandwich,Breakfast,Chicken؛ spices؛ oil,Mix and chill,17,Haifa,1.3,yes
Grilled Chicken,Breakfast,Flour؛ eggs؛ milk,Mix and chill,39,Nawaf,1.6,no
Oatmeal,Dinner,Oats؛ milk؛ honey,Boil and stir,13,Ahmed,4.9,no
Spaghetti Bolognese,Lunch,Tomato؛ cream؛ herbs,Stir fry on high heat,26,Ahmed,4.2,yes
Beef Stew,Lunch,Mushroom؛ rice؛ parmesan,Boil and stir,42,Salman,4.8,no
Caesar Salad,Dinner,Beef؛ potatoes؛ carrots,Assemble and toast,25,Abdullah,4.5,no
